LIFETIME,DIET
35.5,NP       
35.40000153,NP       
34.90000153,NP       
34.79999924,NP       
33.79999924,NP       
33.5,NP       
32.59999847,NP       
32.40000153,NP       
31.79999924,NP       
31.60000038,NP       
31.5,NP       
31.39999962,NP       
31.39999962,NP       
31.29999924,NP       
30.79999924,NP       
30.70000076,NP       
30.5,NP       
30.39999962,NP       
30.20000076,NP       
30.20000076,NP       
30.10000038,NP       
30,NP       
29.60000038,NP       
29.29999924,NP       
28.89999962,NP       
28.29999924,NP       
28,NP       
27.5,NP       
27.29999924,NP       
27.10000038,NP       
26.79999924,NP       
26.60000038,NP       
26.5,NP       
26.29999924,NP       
25.89999962,NP       
25.10000038,NP       
24.79999924,NP       
24.70000076,NP       
24.29999924,NP       
24.10000038,NP       
24,NP       
22.10000038,NP       
21.5,NP       
21.79999924,NP       
20,NP       
18,NP       
13.80000019,NP       
9.199999809,NP       
6.400000095,NP       
42.29999924,N/N85    
40.09999847,N/N85    
39.5,N/N85    
38.59999847,N/N85    
38.40000153,N/N85    
38.29999924,N/N85    
37.79999924,N/N85    
37.59999847,N/N85    
37.40000153,N/N85    
37.29999924,N/N85    
36.79999924,N/N85    
36.5,N/N85    
36.5,N/N85    
36.5,N/N85    
36.40000153,N/N85    
35.90000153,N/N85    
35.5,N/N85    
35.5,N/N85    
35.29999924,N/N85    
35.29999924,N/N85    
34.90000153,N/N85    
34.59999847,N/N85    
34.5,N/N85    
34.40000153,N/N85    
33.79999924,N/N85    
33.5,N/N85    
33.29999924,N/N85    
33.29999924,N/N85    
33.09999847,N/N85    
33,N/N85    
32.90000153,N/N85    
32.5,N/N85    
32.40000153,N/N85    
32.29999924,N/N85    
31.70000076,N/N85    
31.70000076,N/N85    
31.60000038,N/N85    
31.60000038,N/N85    
31.5,N/N85    
33.09999847,N/N85    
31.5,N/N85    
31.39999962,N/N85    
31.39999962,N/N85    
31,N/N85    
30.29999924,N/N85    
30.10000038,N/N85    
29.60000038,N/N85    
29.29999924,N/N85    
29.20000076,N/N85    
28.79999924,N/N85    
27.89999962,N/N85    
24.5,N/N85    
22.29999924,N/N85    
21.89999962,N/N85    
19.79999924,N/N85    
19.29999924,N/N85    
17.89999962,N/N85    
49.70000076,lopro    
49.29999924,lopro    
48.59999847,lopro    
48.29999924,lopro    
48,lopro    
47.70000076,lopro    
47.5,lopro    
47.20000076,lopro    
47.09999847,lopro    
47,lopro    
47,lopro    
47,lopro    
46.90000153,lopro    
46.90000153,lopro    
46.29999924,lopro    
45.90000153,lopro    
45.90000153,lopro    
44.5,lopro    
44.09999847,lopro    
44,lopro    
43.59999847,lopro    
43.29999924,lopro    
42.09999847,lopro    
42,lopro    
42,lopro    
41.90000153,lopro    
41.90000153,lopro    
41.59999847,lopro    
40.5,lopro    
40.09999847,lopro    
39.20000076,lopro    
38.90000153,lopro    
37.40000153,lopro    
37.29999924,lopro    
36.70000076,lopro    
36.40000153,lopro    
36.20000076,lopro    
35.79999924,lopro    
35.70000076,lopro    
35.40000153,lopro    
35.29999924,lopro    
35,lopro    
35,lopro    
34.79999924,lopro    
34.70000076,lopro    
33.5,lopro    
32.79999924,lopro    
31.5,lopro    
30.79999924,lopro    
30.60000038,lopro    
29.89999962,lopro    
29.20000076,lopro    
28,lopro    
26.29999924,lopro    
24.70000076,lopro    
23.39999962,lopro    
51.90000153,N/R50    
51.70000076,N/R50    
51.40000153,N/R50    
51.29999924,N/R50    
50.90000153,N/R50    
50.5,N/R50    
50.5,N/R50    
50.20000076,N/R50    
50,N/R50    
49.40000153,N/R50    
49.20000076,N/R50    
49.20000076,N/R50    
49.09999847,N/R50    
49.09999847,N/R50    
49.09999847,N/R50    
49.09999847,N/R50    
48.70000076,N/R50    
48.29999924,N/R50    
48.09999847,N/R50    
48,N/R50    
47.79999924,N/R50    
47.70000076,N/R50    
47.59999847,N/R50    
47.5,N/R50    
47.29999924,N/R50    
47.20000076,N/R50    
46.90000153,N/R50    
46.70000076,N/R50    
46.5,N/R50    
46.29999924,N/R50    
45.59999847,N/R50    
45.20000076,N/R50    
45.09999847,N/R50    
44.40000153,N/R50    
43.90000153,N/R50    
43.59999847,N/R50    
42.90000153,N/R50    
42.70000076,N/R50    
42.59999847,N/R50    
42.5,N/R50    
42.40000153,N/R50    
42,N/R50    
41.5,N/R50    
41.29999924,N/R50    
40.90000153,N/R50    
40.70000076,N/R50    
40.40000153,N/R50    
39.90000153,N/R50    
39.40000153,N/R50    
38.90000153,N/R50    
38.20000076,N/R50    
37.70000076,N/R50    
37.59999847,N/R50    
37.20000076,N/R50    
35.40000153,N/R50    
35.40000153,N/R50    
35.20000076,N/R50    
34.29999924,N/R50    
32.70000076,N/R50    
32.5,N/R50    
31.79999924,N/R50    
31.10000038,N/R50    
30.89999962,N/R50    
29.79999924,N/R50    
26.79999924,N/R50    
25.70000076,N/R50    
25.10000038,N/R50    
23.5,N/R50    
18.60000038,N/R50    
42.40000153,N/R50    
48.09999847,N/R50    
50.70000076,R/R50    
50.59999847,R/R50    
50.5,R/R50    
50.29999924,R/R50    
50.09999847,R/R50    
50.09999847,R/R50    
50,R/R50    
50,R/R50    
49.79999924,R/R50    
49.70000076,R/R50    
49.59999847,R/R50    
49,R/R50    
48.90000153,R/R50    
